Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
,,,,,,-0.32,,4.84,,,-1.67,-0.82,,-1.35,-1.39,,,-2.34,,,,-3.53,
,,,,,,-0.29,,4.84,,,-1.68,-0.72,,-1.32,-0.67,,,-2.31,,,,-3.53,
,,,,,,-0.27,,5.05,,,-1.71,-0.62,,-1.29,0,,,-2.28,,,,-3.51,
,,,,,,-0.24,,5.05,,,-1.72,0.34,,-1.27,0.74,,,-2.25,,,,-3.51,
,,,,,,-0.22,,5.16,,,-1.72,2.45,,-1.21,1.92,,,-2.24,,,,-3.51,
,,,,,,-0.2,,5.16,,,-1.74,3.84,,-1.16,2.53,,,-2.21,,,,-3.51,
,,,,,,-0.17,,5.21,,,-1.75,4.52,,-1.12,2.56,,,-2.19,,,,-3.51,
,,,,,,-0.15,,,,,-1.8,4.46,,-1.12,2.59,,,-2.15,,,,-3.51,
,,,,,,-0.13,,,,,-1.83,,,-1.06,2.62,,,-2.09,,,,-3.47,
,,,,,,-0.09,,,,,-1.84,,,-1.01,2.72,,,-2.05,,,,-3.47,
,,,,,,-0.07,,,,,-1.86,,,-1,2.75,,,-2.02,,,,-3.47,
,,,,,,-0.05,,,,,-1.87,,,-0.93,2.8,,,-1.98,,,,-3.45,
,,,,,,-0.02,,,,,-1.89,,,-0.89,2.83,,,-1.96,,,,-3.45,
,,,,,,0,,,,,-1.93,,,-0.82,2.86,,,-1.92,,,,-3.45,
,,,,,,0.02,,,,,-1.95,,,-0.77,2.93,,,-1.85,,,,-3.45,
,,,,,,0.05,,,,,-1.96,,,-0.75,2.96,,,-1.82,,,,-3.45,
,,,,,,0.07,,,,,-1.96,,,-0.72,3.02,,,-1.76,,,,-3.45,
,,,,,,0.09,,,,,-1.98,,,-0.64,3.08,,,-1.76,,,,-3.45,
,,,,,,0.09,,,,,-1.99,,,-0.6,3.15,,,-1.74,,,,-3.45,
,,,,,,0.13,,,,,-2.01,,,-0.58,3.18,,,-1.69,,,,-3.45,
,,,,,,0.15,,,,,-2.04,,,-0.51,3.23,,,-1.67,,,,-3.45,
,,,,,,0.17,,,,,-2.04,,,-0.42,3.33,,,-1.64,,,,-3.45,
,,,,,,0.2,,,,,-2.08,,,-0.37,3.42,,,-1.6,,,,-3.47,
,,,,,,0.22,,,,,-2.08,,,-0.28,3.42,,,-1.55,,,,-3.47,
,,,,,,0.27,,,,,-2.11,,,-0.23,3.48,,,-1.51,,,,-3.47,
,,,,,,0.27,,,,,-2.12,,,-0.21,3.58,,,-1.45,,,,-3.47,
,,,,,,0.29,,,,,-2.14,,,-0.16,3.64,,,-1.42,,,,-3.47,
,,,,,,0.32,,,,,-2.15,,,-0.14,3.69,,,-1.39,,,,-3.47,
,,,,,,0.35,,,,,-2.17,,,-0.07,3.73,,,-1.36,,,,-3.47,
,,,,,,0.37,,,,,-2.2,,,-0.05,3.79,,,-1.34,,,,-3.51,
,,,,,,0.37,,,,,-2.23,,,0.02,3.82,,,-1.25,,,,-3.51,
,,,,,,0.39,,,,,-2.24,,,0.08,3.85,,,-1.21,,,,-3.51,
,,,,,,0.42,,,,,-2.24,,,0.19,3.88,,,-1.18,,,,-3.51,
,,,,,,0.44,,,,,-2.27,,,0.21,3.88,,,-1.13,,,,-3.51,
,,,,,,0.46,,,,,-2.29,,,0.29,3.92,,,-1.09,,,,-3.53,
