Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
,,,,,,-1.02,,-1.15,,,-0.39,-2.37,3.15,-2.2,-3.25,,3.2,-3.35,,,,-3.65,
,,,,,,-1,,-1.1,,,-0.42,-2.42,,-2.17,-3.25,,3.3,-3.35,,,,-3.65,
,,,,,,-1,,-1.1,,,-0.44,-2.55,,-2.14,-3.16,,3.3,-3.33,,,,-3.65,
,,,,,,-0.98,,-0.75,,,-0.47,-2.6,,-2.11,-3.16,,3.35,-3.3,,,,-3.65,
,,,,,,-0.95,,-0.65,,,-0.48,-2.64,,-2.07,-3.16,,,-3.27,,,,-3.65,
,,,,,,-0.93,,-0.55,,,-0.51,-2.69,,-2.06,-3.16,,,-3.24,,,,-3.62,
,,,,,,-0.93,,-0.45,,,-0.54,-2.74,,-2.02,-3.16,,,-3.21,,,,-3.62,
,,,,,,-0.91,,-0.35,,,-0.56,-2.83,,-2.02,-3.16,,,-3.2,,,,-3.62,
,,,,,,-0.88,,-0.25,,,-0.6,-3.19,,-2.01,-3.16,,,-3.17,,,,-3.62,
,,,,,,-0.86,,-0.15,,,-0.62,-4.29,,-1.99,-3.16,,,-3.14,,,,-3.62,
,,,,,,-0.84,,-0.05,,,-0.64,-4.7,,-1.98,-3.16,,,-3.11,,,,-3.62,
,,,,,,-0.84,,0.05,,,-0.67,-4.74,,-1.94,-3.16,,,-3.1,,,,-3.62,
,,,,,,-0.81,,0.15,,,-0.7,-4.74,,-1.93,-3.16,,,-3.08,,,,-3.62,
,,,,,,-0.79,,0.25,,,-0.71,-4.79,,-1.91,-3.16,,,-3.04,,,,-3.6,
,,,,,,-0.77,,0.45,,,-0.76,-4.74,,-1.88,-3.16,,,-3.01,,,,-3.6,
,,,,,,-0.74,,0.55,,,-0.77,-4.74,,-1.88,-3.1,,,-2.98,,,,-3.6,
,,,,,,-0.72,,0.65,,,-0.8,-4.65,,-1.85,-3.07,,,-2.95,,,,-3.6,
,,,,,,-0.72,,0.75,,,-0.82,-4.65,,-1.83,-3.05,,,-2.9,,,,-3.58,
,,,,,,-0.7,,0.85,,,-0.86,-4.65,,-1.81,-3.02,,,-2.87,,,,-3.58,
,,,,,,-0.68,,0.95,,,-0.91,-4.61,,-1.78,-2.99,,,-2.84,,,,-3.58,
,,,,,,-0.68,,1.15,,,-0.94,-4.51,,-1.77,-2.93,,,-2.81,,,,-3.58,
,,,,,,-0.65,,1.25,,,-0.97,-4.51,,-1.76,-2.84,,,-2.8,,,,-3.58,
,,,,,,-0.63,,1.45,,,-0.98,-4.47,,-1.73,-2.81,,,-2.77,,,,-3.44,
,,,,,,-0.61,,1.55,,,-1,-4.47,,-1.7,-2.72,,,-2.75,,,,-3.44,
,,,,,,-0.58,,1.65,,,-1.03,-4.42,,-1.68,-2.61,,,-2.69,,,,-3.44,
,,,,,,-0.56,,1.75,,,-1.04,-4.38,,-1.66,-2.46,,,-2.65,,,,-3.42,
,,,,,,-0.56,,1.95,,,-1.04,-4.33,,-1.65,-2.34,,,-2.63,,,,-3.42,
,,,,,,-0.54,,2.05,,,-1.09,-4.29,,-1.61,-2.25,,,-2.59,,,,-3.42,
,,,,,,-0.51,,2.35,,,-1.13,-4.29,,-1.63,-2.23,,,-2.55,,,,-3.39,
,,,,,,-0.49,,2.45,,,-1.19,-4.29,,-1.6,-2.14,,,-2.53,,,,-3.39,
,,,,,,-0.47,,3.05,,,-1.23,-4.29,,-1.58,-2.05,,,-2.5,,,,-3.39,
,,,,,,-0.44,,3.5,,,-1.27,-1.41,,-1.55,-1.93,,,-2.46,,,,-3.39,
,,,,,,-0.44,,3.5,,,-1.3,-1.32,,-1.53,-1.9,,,-2.44,,,,-3.39,
,,,,,,-0.42,,3.85,,,-1.35,-1.23,,-1.51,-1.82,,,-2.41,,,,-3.37,
,,,,,,-0.4,,4.05,,,-1.39,-1.09,,-1.48,-1.73,,,-2.38,,,,-3.35,
,,,,,,-0.4,,4.4,,,-1.41,-1,,-1.43,-1.64,,,-2.35,,,,-3.35,
,,,,,,-0.37,,4.4,,,-1.45,-0.91,,-1.38,-1.52,,,-2.29,,,,-3.35,
,,,,,,-0.35,,4.5,,,-1.5,-0.82,,-1.33,-1.43,,,-2.28,,,,-3.35,
,,,,,,-0.33,,4.5,,,-1.51,-0.82,,-1.3,-1.41,,,-2.23,,,,-3.35,
,,,,,,-0.3,,4.6,,,-1.59,-0.78,,-1.28,-1.32,,,-2.22,,,,-3.35,
,,,,,,-0.28,,4.6,,,-1.6,-0.68,,-1.25,-0.64,,,-2.19,,,,-3.35,
,,,,,,-0.26,,4.8,,,-1.62,-0.59,,-1.23,0,,,-2.17,,,,-3.33,
,,,,,,-0.23,,4.8,,,-1.63,0.32,,-1.21,0.7,,,-2.14,,,,-3.33,
,,,,,,-0.21,,4.9,,,-1.63,2.33,,-1.15,1.82,,,-2.13,,,,-3.33,
,,,,,,-0.19,,4.9,,,-1.65,3.65,,-1.1,2.4,,,-2.1,,,,-3.33,
,,,,,,-0.16,,4.95,,,-1.66,4.29,,-1.06,2.43,,,-2.08,,,,-3.33,
