Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
,,,,,,-2.19,,-4.2,,,-2.79,-3.83,,0.86,1.08,,,-3.52,,,,2.34,
,,,,,,-2.21,,-4.2,,,-2.79,-3.83,,0.88,1.2,,,-3.53,,,,2.32,
,,,,,,-2.21,,-4.3,,,-2.79,-3.83,,0.89,1.32,,,-3.53,,,,2.29,
,,,,,,-2.21,,-4.3,,,-2.79,-3.79,,0.91,1.38,,,-3.54,,,,2.27,
,,,,,,-2.24,,-4.4,,,-2.8,-3.01,,0.92,1.49,,,-3.56,,,,2.25,
,,,,,,-2.24,,-4.4,,,-2.8,-2.01,,0.92,1.52,,,-3.56,,,,2.23,
,,,,,,-2.26,,-4.5,,,-2.8,-0.59,,0.96,1.61,,,-3.56,,,,2.2,
,,,,,,-2.28,,-4.5,,,-2.82,-0.55,,0.97,1.64,,,-3.56,,,,2.18,
,,,,,,-2.28,,-4.6,,,-2.82,-0.41,,0.99,1.7,,,-3.56,,,,2.16,
,,,,,,-2.28,,-4.6,,,-2.82,-0.32,,1,1.73,,,-3.56,,,,2.13,
,,,,,,-2.31,,-4.7,,,-2.82,-0.27,,1.02,1.82,,,-3.56,,,,2.11,
,,,,,,-2.31,,-4.7,,,-2.82,-0.14,,1.04,1.88,,,-3.56,,,,2.09,
,,,,,,-2.33,,-4.8,,,-2.82,0,,1.04,1.9,,,-3.56,,,,2.09,
,,,,,,-2.33,,-4.8,,,-2.82,0.05,,1.07,1.93,,,-3.59,,,,2.07,
,,,,,,-2.33,,-4.9,,,-2.79,0.09,,1.09,1.96,,,-3.59,,,,2.04,
,,,,,,-2.35,,-4.9,,,-2.79,0.18,,1.1,2.11,,,-3.59,,,,2.02,
,,,,,,-2.35,,-5,,,-2.77,0.23,,1.1,2.23,,,-3.59,,,,2,
,,,,,,-2.35,,-5,,,-2.77,0.27,,1.11,2.23,,,-3.59,,,,1.77,
,,,,,,-2.38,,-5.1,,,-2.77,0.37,,1.11,2.32,,,-3.59,,,,1.74,
,,,,,,-2.38,,-5.1,,,-2.74,0.37,,1.13,2.43,,,-3.59,,,,1.72,
,,,,,,-2.38,,-5.2,,,-2.74,0.41,,1.15,2.55,,,-3.59,,,,1.7,
,,,,,,-2.4,,-5.2,,,-2.72,0.5,,1.15,2.61,,,-3.59,,,,1.68,
,,,,,,-2.4,,-5.3,,,-2.71,0.55,,1.18,2.7,,,-3.6,,,,1.65,
,,,,,,-2.4,,-5.3,,,-2.68,0.64,,1.21,2.73,,,-3.6,,,,1.63,
,,,,,,-2.42,,-5.4,,,-2.66,0.68,,1.23,2.81,,,-3.6,,,,1.61,
,,,,,,-2.45,,-5.4,,,-2.65,0.73,,1.23,2.9,,,-3.6,,,,1.58,
,,,,,,-2.45,,-4.95,,,-2.62,3.33,,1.25,2.96,,,-3.6,,,,1.56,
,,,,,,-2.47,,-4.85,,,-2.62,3.33,,1.26,2.96,,,-3.6,,,,1.47,
,,,,,,-2.47,,-4.5,,,-2.62,3.42,,1.26,3.02,,,-3.6,,,,1.47,
,,,,,,-2.47,,-4.5,,,-2.6,3.47,,1.28,3.05,,,-3.6,,,,1.47,
,,,,,,-2.49,,-4.15,,,-2.59,3.47,,1.3,3.11,,,-3.6,,,,1.45,
,,,,,,-2.49,,-4.05,,,-2.57,3.51,,1.33,3.14,,,-3.6,,,,1.4,
,,,,,,-2.49,,-3.95,,,-2.54,3.51,,1.35,3.16,,,-3.6,,,,1.38,
,,,,,,-2.52,,-3.85,,,-2.53,3.56,,1.35,3.16,,,-3.6,,,,1.35,
,,,,,,-2.54,,-3.75,,,-2.48,3.56,,1.35,3.16,,,-3.6,,,,1.33,
,,,,,,-2.54,,-3.35,,,-2.45,3.61,,1.36,3.08,,,-3.6,,,,1.31,
,,,,,,-2.54,,-3.15,,,-2.45,3.61,,1.38,2.87,,,-3.6,,,,1.29,
,,,,,,-2.54,,-3.05,,,-2.45,3.88,,1.38,2.58,,,-3.62,,,,1.26,
,,,,,,-2.54,,-2.95,,,-2.44,4.02,,1.4,2.11,,,-3.62,,,,1.24,
,,,,,,-2.54,,-2.25,,,-2.44,3.33,,1.41,1.88,,,-3.62,,,,1.22,
,,,,,,-2.54,,-2.2,,,-2.44,1.51,,1.43,1.88,,,-3.62,,,,1.19,
,,,,,,-2.59,,,,,-2.44,1.55,,1.45,1.88,,,-3.63,,,,1.17,
,,,,,,-2.59,,,,,-2.44,,,1.45,1.88,,,-3.65,,,,1.17,
,,,,,,-2.59,,,,,-2.44,,,1.46,1.85,,,-3.66,,,,1.15,
,,,,,,-2.59,,,,,-2.44,,,1.46,1.82,,,-3.66,,,,1.12,
,,,,,,-2.59,,,,,-2.42,,,1.48,1.79,,,-3.68,,,,1.12,
,,,,,,-2.59,,,,,-2.42,,,1.5,1.79,,,-3.68,,,,1.1,
,,,,,,-2.59,,,,,-2.42,,,1.51,1.76,,,-3.68,,,,1.08,
,,,,,,-2.59,,,,,-2.41,,,1.51,1.73,,,-3.68,,,,1.06,
,,,,,,-2.59,,,,,-2.41,,,1.51,1.7,,,-3.69,,,,1.03,
,,,,,,-2.59,,,,,-2.39,,,1.51,1.7,,,-3.69,,,,1.01,
,,,,,,-2.59,,,,,-2.39,,,1.53,1.64,,,-3.71,,,,0.99,
,,,,,,-2.61,,,,,-2.36,,,1.53,1.61,,,-3.71,,,,0.96,
,,,,,,-2.61,,,,,-2.35,,,1.53,1.58,,,-3.72,,,,0.94,
,,,,,,-2.61,,,,,-2.32,,,1.53,1.52,,,-3.72,,,,0.92,
,,,,,,-2.61,,,,,-2.3,,,1.53,1.49,,,-3.74,,,,0.9,
,,,,,,-2.61,,,,,-2.27,,,1.53,1.44,,,-3.75,,,,0.9,
,,,,,,-2.61,,,,,-2.26,,,1.53,1.41,,,-3.75,,,,0.87,
,,,,,,-2.61,,,,,-2.26,,,1.53,1.38,,,-3.77,,,,0.85,
,,,,,,-2.59,,,,,-2.26,,,1.53,1.29,,,-3.77,,,,0.83,
,,,,,,-2.59,,,,,-2.24,,,1.53,1.2,,,-3.77,,,,0.8,
,,,,,,-2.59,,,,,-2.23,,,1.53,1.11,,,-3.77,,,,0.78,
,,,,,,-2.59,,,,,-2.23,,,1.53,1.05,,,-3.75,,,,0.76,
,,,,,,-2.59,,,,,-2.18,,,1.53,1,,,-3.75,,,,0.73,
,,,,,,-2.56,,,,,-2.15,,,1.53,0.88,,,-3.75,,,,0.71,
,,,,,,-2.56,,,,,-2.15,,,1.53,0.82,,,-3.75,,,,0.69,
,,,,,,-2.56,,,,,-2.13,,,1.53,0.62,,,-3.75,,,,0.67,
